date,price,market_cap,volume_24h
2024-10-28,67938.55412885673,1343350549900.1233,16533385730.434193
2024-10-29,69845.304531169,1380874923096.4146,41990540384.96554
2024-10-30,72781.11308158132,1439310420089.3665,65487782004.97014
2024-10-31,72342.62171127986,1431085552900.1965,43498144313.67304
2024-11-01,70264.99735573279,1390195908292.9321,45907074188.570145
2024-11-02,69507.92256395647,1374687306836.925,54863092261.31101
2024-11-03,69299.16036699413,1370516856365.7996,14709379754.965973
2024-11-04,68803.50626277467,1362302032218.0198,37659435506.757034
2024-11-05,67793.29782704762,1340192510479.9568,46183110993.79166
2024-11-06,69335.42553133758,1370963795352.6948,40025021601.49395
2024-11-07,75620.88606963192,1496392703840.9058,128492534668.23851
2024-11-08,75987.24178320667,1502620808927.6982,66590396087.4524
2024-11-09,76550.0213845611,1514048743889.1255,50687468387.720375
2024-11-10,76630.22631415377,1519470275068.1016,31430906055.796104
2024-11-11,80466.71654833542,1590846468754.067,93473126207.67865
2024-11-12,88637.42000322911,1756619702929.0437,133959805308.72511
2024-11-13,88264.59974582895,1741113172482.1243,152356811694.44943
2024-11-14,90488.10007497849,1790737763695.3328,136046309843.60645
2024-11-15,87407.51273710128,1726797438787.217,99649391847.08359
2024-11-16,90947.97509443703,1799276211921.9302,84382485697.84985
2024-11-17,90606.45489380708,1790415769635.4927,49255174407.368774
2024-11-18,89841.47194135105,1776887033229.9082,48556083101.64749
2024-11-19,90534.62459650292,1790917617392.4407,77391724184.19348
2024-11-20,92251.65240738312,1825195454018.501,80493234958.49161
2024-11-21,94217.02229634205,1862618759426.145,80747272080.24826
2024-11-22,98509.11859102432,1948284556982.0486,118163852022.3175
2024-11-23,98927.49494553401,1958091000957.8345,85746174563.98602
2024-11-24,97679.46381643033,1931255637661.502,47414200206.70341
2024-11-25,98015.9355289458,1939446484727.4285,50665680246.86775
2024-11-26,93004.70093103287,1838788677873.8657,89476321216.0935
2024-11-27,91931.83077291827,1819990514406.0881,97389239315.52954
2024-11-28,95981.18057210564,1899088665519.225,81469353259.75
2024-11-29,95661.59595817851,1892297852304.72,49067932024.40325
2024-11-30,97453.2473451042,1926826079390.2441,74670031635.5065
2024-12-01,96513.14234698225,1910022814269.8855,43580019720.720634
2024-12-02,97311.70719084324,1925808416477.5068,49147687432.565895
2024-12-03,95833.1362300365,1896576914275.523,101019861361.49252
2024-12-04,96031.63097759831,1900922167493.3643,87935752287.975
2024-12-05,98881.4694561823,1957276192604.2603,98230784298.0459
2024-12-06,97201.50036407741,1920742551503.6094,190460293531.53802
2024-12-07,99973.85150659826,1978389972043.7947,115812632020.44765
2024-12-08,99781.82999198174,1974739091620.7542,61061136199.7846
2024-12-09,101235.3717025316,2003238967638.8286,62677764785.05408
2024-12-10,97353.94700820887,1926047690157.6282,146846843211.51685
2024-12-11,96649.71446771531,1913115778728.2837,125835977742.51114
2024-12-12,101123.61811033697,2001746436338.842,118484957960.76833
2024-12-13,100000.80836535197,1979166149963.3093,100092043319.81221
2024-12-14,101352.22971292294,2005406021235.8357,78802903278.85962
2024-12-15,101367.01064553364,2007646386698.8667,57321924844.41535
2024-12-16,104721.50151808978,2075487816560.1924,70645074624.52869
2024-12-17,106074.10723541168,2097460193710.789,115184737759.33566
2024-12-18,106034.913402645,2100629850064.9119,93417826250.1972
2024-12-19,100355.5761481501,1985284833093.572,113692025885.44745
2024-12-20,97851.35377075805,1937022229972.2085,100611554887.24123
2024-12-21,97691.43431692653,1932373308116.0107,112340864006.62827
2024-12-22,97202.82496847633,1922768195068.165,53058382639.48845
2024-12-23,95094.27394862173,1884599149192.4587,44619017105.36954
2024-12-24,94644.91085464321,1874912975786.6604,64937790292.61125
2024-12-25,98695.71400782601,1951173788529.116,49169088282.15742
2024-12-26,99344.95417367229,1966481159354.1177,33963749856.44743
2024-12-27,95678.31244565405,1894744251986.1084,45049342388.18843
2024-12-28,94331.94727053077,1867708753554.924,41498540807.666954
2024-12-29,95184.61945288602,1885556552231.4314,22429850903.940086
2024-12-30,93663.44751964067,1854872605738.8086,24065314499.502274
2024-12-31,92627.28213113277,1833188187477.531,57595164139.4709
2025-01-01,93507.85874741491,1851839954625.13,45327464907.74362
